epoch,loss,mae
1,529830.125,704.3348999023438
2,518634.3125,695.749755859375
3,471920.625,659.9224853515625
4,363059.28125,569.2130737304688
5,211280.953125,422.9278564453125
6,92455.0078125,269.3538513183594
7,47217.1171875,181.09690856933594
8,37592.33984375,158.95294189453125
9,33644.65234375,149.74566650390625
10,30454.478515625,141.972412109375
11,27631.52734375,134.7558135986328
12,25118.96875,128.020263671875
13,22900.333984375,121.81344604492188
14,20951.935546875,116.12435150146484
15,19230.06640625,110.91731262207031
16,17714.92578125,106.16081237792969
17,16381.5849609375,101.81746673583984
18,15215.544921875,97.8836669921875
19,14190.4111328125,94.31981658935547
20,13283.0234375,91.0748519897461
21,12478.2294921875,88.10603332519531
22,11760.080078125,85.3834228515625
23,11117.5810546875,82.88131713867188
24,10549.09765625,80.61954498291016
25,10037.63671875,78.54524230957031
26,9589.2783203125,76.70565795898438
27,9187.4814453125,75.02344512939453
28,8830.0029296875,73.4948959350586
29,8511.359375,72.11735534667969
30,8227.98046875,70.8615951538086
31,7977.76123046875,69.74048614501953
32,7756.47998046875,68.7229232788086
33,7560.357421875,67.79634857177734
34,7383.572265625,66.94197845458984
35,7226.48779296875,66.16848754882812
36,7084.24658203125,65.45426177978516
37,6955.720703125,64.79177856445312
38,6841.84619140625,64.19366455078125
39,6742.10595703125,63.65993118286133
40,6652.57080078125,63.172115325927734
41,6571.74853515625,62.72338104248047
42,6499.0771484375,62.3149528503418
43,6432.5166015625,61.93741989135742
44,6371.24853515625,61.58395004272461
45,6315.26904296875,61.25641632080078
46,6264.83544921875,60.9617805480957
47,6219.43798828125,60.69010925292969
48,6179.609375,60.44790267944336
49,6141.275390625,60.21382522583008
50,6106.52685546875,60.000099182128906
51,6073.4599609375,59.795127868652344
52,6042.81103515625,59.602684020996094
53,6014.34033203125,59.42103576660156
54,5989.16357421875,59.25654983520508
55,5965.47021484375,59.10224151611328
56,5944.41357421875,58.961769104003906
57,5925.259765625,58.834224700927734
58,5907.25146484375,58.71202087402344
59,5890.458984375,58.598419189453125
60,5875.07666015625,58.493812561035156
61,5860.71728515625,58.39426040649414
62,5846.9501953125,58.30290222167969
