lag,acf,pacf,sig_acf,sig_pacf,sugerido
0,1.0,1.0,True,True,False
1,0.9566456529831303,0.9572511249153981,True,True,True
2,0.9024157675063964,-0.15263396018975922,True,True,True
3,0.8806048074917502,0.3846896479367202,True,True,True
4,0.868859694244722,-0.014744814110548307,True,False,True
5,0.8672525947847955,0.2947832471020932,True,True,True
6,0.893311566950437,0.4028704565161185,True,True,True
7,0.9103442039581449,-0.02084201923384642,True,False,False
8,0.8676063173904893,-0.5375405990608468,True,True,False
9,0.8187576343900094,0.11691673650225896,True,True,False
10,0.799458060588338,0.005555543920802178,True,False,False
11,0.7903255250985437,0.08305568411714442,True,True,False
12,0.7908662140356456,0.06751995336031956,True,True,False
13,0.8180432978487151,0.1787135544206276,True,True,False
14,0.8369371214298019,0.027817685174716313,True,False,False
15,0.8018413493493303,-0.17143021356759,True,True,False
16,0.7619459016288901,0.08168177525544693,True,True,False
17,0.7479236141953959,-0.03757937922048727,True,False,False
18,0.7429544949920115,0.06968905847870666,True,True,False
19,0.7467674725759683,0.01904816619511717,True,False,False
20,0.7772420553995893,0.161461100726375,True,True,False
21,0.798882438202188,-0.00786925344752459,True,False,False
22,0.7652828572405805,-0.19627525666626763,True,True,False
23,0.7257734458875,0.028422167126743177,True,False,False
24,0.7125474454301794,0.013758992934113659,True,False,False
25,0.7073473326340217,0.007310644765946542,True,False,False
26,0.7105188354308326,0.027094892956316556,True,False,False
27,0.7395929351952318,0.07031329139899245,True,True,False
28,0.7595600641150335,0.009631037154019053,True,False,False
29,0.7256799654045345,-0.1231648365450702,True,True,False
30,0.6859989159320796,0.01453243595783345,True,False,False
31,0.6712814350562571,-0.03753026423415656,True,False,False
32,0.6658731812975415,0.05938026408762472,True,True,False
33,0.67047214110087,0.04611056345028192,True,False,False
34,0.7002268440780756,0.05169241896895435,True,True,False
35,0.7203062245357118,0.013373674234769262,True,False,False
36,0.6864490755616476,-0.14667467069521714,True,True,False
37,0.646434227855369,0.004128274195363128,True,False,False
38,0.6330193430152551,0.038195589556020045,True,False,False
39,0.6290225013582963,0.010522279233040704,True,False,False
40,0.6347107757188367,0.03488427456694009,True,False,False
