,consumo,tmed,tmax_dia,tmin_dia,prec_dia,vmax_dia,inso_dia
consumo,1.0,-0.8153109382673602,-0.7896862075696154,-0.8038733398504191,0.02326017279684603,0.113315523465403,-0.35668021330347016
tmed,-0.8153109382673602,1.0,0.9755821016811854,0.9844549555090331,-0.013503230216894615,-0.0452104512535226,0.4587562651690572
tmax_dia,-0.7896862075696154,0.9755821016811854,1.0,0.9331697534203248,-0.04872318892081972,-0.05659196061903876,0.5298071300376275
tmin_dia,-0.8038733398504191,0.9844549555090331,0.9331697534203248,1.0,0.004787730714769818,-0.04378483400797286,0.3616540224762214
prec_dia,0.02326017279684603,-0.013503230216894615,-0.04872318892081972,0.004787730714769818,1.0,0.22828953719119258,-0.20333845272204723
vmax_dia,0.113315523465403,-0.0452104512535226,-0.05659196061903876,-0.04378483400797286,0.22828953719119258,1.0,-0.07907168917114937
inso_dia,-0.35668021330347016,0.4587562651690572,0.5298071300376275,0.3616540224762214,-0.20333845272204723,-0.07907168917114937,1.0
