Pais;Anio;Sector;Tamanio;Total_activos;Facturacion;Valor_bruto_agregado;Trabajadores;Solvencia;Apalancamiento;Liquidez;EBITDA_Ingresos_netos;Beneficio_econ_ingresos_netos;EBIT_Ingresos_netos;Rotacion_activos;Salarios_VA
FR;2006;C;2;84656644;114291349;30711859;584711;271,11;171,11;70,49;6,96;4,13;4,34;135,01;76,6
FR;2006;C;3;439013877;504907662;101119867;1338849;267,52;167,52;53,82;8,12;4,22;5,44;115,01;68,95
FR;2006;F;1;45398606;61107994;22131149;452125;345,1;245,1;80,43;8,97;5,63;7,84;134,6;79,46
FR;2006;F;2;27068230;31051467;8512473;153853;466,45;366,45;84,46;8,26;5,01;7,88;114,72;78,93
FR;2006;F;3;43618672;41538397;10940108;199502;586,56;486,56;80,19;6,06;3,31;6,79;95,23;88,38
FR;2006;G;1;79952668;152636478;28315079;597421;305,11;205,11;73,87;4,52;3,05;3,72;190,91;78,12
FR;2006;G;2;86738637;193683297;24390429;471944;330,25;230,25;77,6;3,73;2,59;3,05;223,3;73,99
FR;2006;G;3;246326285;548108380;55955863;996851;317,86;217,86;67,52;4,22;2,81;3,43;222,51;67,21
FR;2007;C;1;63657882;86468056;30295105;625548;264,62;164,62;72,86;8,19;5,02;6,03;135,83;78,32
FR;2007;C;2;87223197;117894460;31855169;573144;268,66;168,66;70,32;7,51;4,66;5,24;135,16;74,78
FR;2007;C;3;457729202;542619666;105854269;1359758;278,58;178,58;54,66;8,07;4,63;6,57;118,55;69,76
FR;2007;F;1;50137698;67898628;24475749;477331;348,63;248,63;79,94;9,48;5,97;8,25;135,42;78,6
FR;2007;F;2;27576369;34535395;9524483;160786;492,56;392,56;85,67;7,93;5,34;7,22;125,24;76,56
FR;2007;F;3;55558674;51433897;13110658;225859;586,92;486,92;78,48;7,45;3,59;8,56;92,58;86,77
FR;2007;G;1;85073692;159487348;30142036;604811;288,4;188,4;72,05;4,98;3,46;4,29;187,47;76,54
FR;2007;G;2;90856600;201547986;25845715;472933;318,1;218,1;76,88;4,14;2,89;3,65;221,83;72,18
FR;2007;G;3;260055988;589322392;60121223;1031248;320,52;220,52;68,39;4,13;2,76;3,55;226,61;67,62
FR;2008;C;1;62540878;85868029;29891419;602286;258,26;158,26;72,99;7,88;4,64;5,43;137,3;79,03
FR;2008;C;2;86828820;117716772;31736152;559094;261,31;161,31;69,49;7,49;4,32;4,88;135,57;74,98
FR;2008;C;3;490622778;567977921;106713182;1364868;310,48;210,48;55,32;7,7;3,24;4,05;115,77;71,11
FR;2008;F;1;53223320;72081978;25768532;493720;337,38;237,38;78,76;9,14;5,42;7,63;135,43;79,27
FR;2008;F;2;30297099;37035331;10146372;169415;470,23;370,23;85,13;7,86;4,87;6,85;122,24;77,67
FR;2008;F;3;54838167;56350126;13749851;229014;609,35;509,35;81,63;6,73;3,39;7,68;102,76;86,09
FR;2008;G;1;84794715;161741809;30549892;600044;295,37;195,37;71,79;4,85;3,35;3,98;190,75;76,93
FR;2008;G;2;91446565;206712822;26155741;471910;317,5;217,5;76,61;3,94;2,62;3,16;226,05;73,07
FR;2008;G;3;258624920;631804464;63324839;1053362;331,64;231,64;69,79;4,2;2,57;3,14;244,29;67,46
FR;2009;C;1;62012766;80508519;27871628;597581;244,7;144,7;70,94;5,69;2,35;3,26;129,83;85
FR;2009;C;2;83281136;107182268;29502603;545279;245,61;145,61;67,07;6,58;2,9;3,36;128,7;79,67
FR;2009;C;3;456782227;469087637;93122826;1287487;296,73;196,73;52,85;6,6;2,09;3,23;102,69;78,18
FR;2009;F;1;52857142;70280157;25323764;492760;317,11;217,11;79,11;7,72;4,65;6,17;132,96;81,58
FR;2009;F;2;28696892;34675771;9631209;163267;465,49;365,49;84,17;6,63;4,23;5,65;120,83;80,51
FR;2009;F;3;54330716;55696099;14700562;241197;557,5;457,5;79,06;5,77;3,25;5,37;102,51;86,98
FR;2009;G;1;84800918;158698743;29950133;598742;285,14;185,14;70,82;4,24;2,8;3,24;187,14;79,65
FR;2009;G;2;88196449;194298020;24736470;462457;299,12;199,12;74,27;3,44;2,23;2,71;220,3;76,41
FR;2009;G;3;252881711;612375068;61152896;1071046;317,62;217,62;67,02;3,53;2,18;2,74;242,16;72,21
FR;2010;C;1;61930052;78807390;27591943;561456;244;144;71,61;6,63;3,53;4,43;127,25;82,5
FR;2010;C;2;83503830;107582335;30036654;525084;241,47;141,47;67,45;6,89;3,81;4,31;128,84;77,61
FR;2010;C;3;473899368;511726578;106818132;1285891;289,45;189,45;54,13;8,18;3,99;5,96;107,98;71,03
