accuracy,loss,val_accuracy,val_loss,learning_rate
0.4563888907432556,1.1325842142105103,0.5199999809265137,0.9955723285675049,0.0010000000474974513
0.5691666603088379,0.8941953778266907,0.6100000143051147,0.8142039775848389,0.0010000000474974513
0.6341666579246521,0.7984074354171753,0.6966666579246521,0.7394057512283325,0.0010000000474974513
0.6833333373069763,0.7266713976860046,0.7133333086967468,0.7061066627502441,0.0010000000474974513
0.7038888931274414,0.6876088380813599,0.7566666603088379,0.649457573890686,0.0010000000474974513
0.7275000214576721,0.628382682800293,0.753333330154419,0.6421571969985962,0.0010000000474974513
0.7394444346427917,0.6083150506019592,0.7266666889190674,0.6401206254959106,0.0010000000474974513
0.7561110854148865,0.5852311253547668,0.753333330154419,0.6373124718666077,0.0010000000474974513
0.7686111330986023,0.558086097240448,0.7766666412353516,0.6002215147018433,0.0010000000474974513
0.7833333611488342,0.5292258262634277,0.7900000214576721,0.5306074023246765,0.0010000000474974513
0.7858333587646484,0.5079551935195923,0.7933333516120911,0.5611352920532227,0.0010000000474974513
0.8075000047683716,0.48793095350265503,0.8266666531562805,0.5121905207633972,0.0010000000474974513
0.8102777600288391,0.47769826650619507,0.7833333611488342,0.575839638710022,0.0010000000474974513
0.8133333325386047,0.4516085684299469,0.800000011920929,0.5498800873756409,0.0010000000474974513
0.847777783870697,0.37729501724243164,0.8266666531562805,0.5449317693710327,0.0005000000237487257
0.8575000166893005,0.36234185099601746,0.8266666531562805,0.5229595899581909,0.0005000000237487257
