modelo,optimizador,mejor_epoch,val_accuracy,val_loss,train_accuracy,train_loss
Modelo B,SGD (momentum),21,0.8533333539962769,0.4867572486400604,0.9130555391311646,0.2320854216814041
Modelo A,Adam,18,0.8266666531562805,0.4787055552005768,0.8641666769981384,0.3271549046039581
Modelo C,RMSprop,12,0.8266666531562805,0.5121905207633972,0.8075000047683716,0.487930953502655
