accuracy,loss,val_accuracy,val_loss,learning_rate
0.4833333194255829,0.9805842638015747,0.5233333110809326,0.900969922542572,0.009999999776482582
0.5858333110809326,0.8739526867866516,0.6000000238418579,0.8576329350471497,0.009999999776482582
0.6319444179534912,0.8002147674560547,0.6133333444595337,0.7731427550315857,0.009999999776482582
0.6461111307144165,0.7702795267105103,0.6200000047683716,0.7565962672233582,0.009999999776482582
0.6752777695655823,0.7321699261665344,0.6966666579246521,0.7235431671142578,0.009999999776482582
0.6922222375869751,0.6957473158836365,0.7333333492279053,0.6421030759811401,0.009999999776482582
0.7247222065925598,0.6394875645637512,0.7300000190734863,0.6472101807594299,0.009999999776482582
0.7394444346427917,0.6092665195465088,0.753333330154419,0.6032102704048157,0.009999999776482582
0.7488889098167419,0.5883815288543701,0.7400000095367432,0.6196678280830383,0.009999999776482582
0.7697222232818604,0.5445061922073364,0.7799999713897705,0.5788336396217346,0.009999999776482582
0.7797222137451172,0.5306528210639954,0.753333330154419,0.5916316509246826,0.009999999776482582
0.7988888621330261,0.4893159568309784,0.7866666913032532,0.5659822225570679,0.009999999776482582
0.804444432258606,0.4661135673522949,0.7799999713897705,0.5980908870697021,0.009999999776482582
0.8163889050483704,0.45338019728660583,0.753333330154419,0.5908478498458862,0.009999999776482582
0.8500000238418579,0.3834952712059021,0.8033333420753479,0.522636890411377,0.004999999888241291
0.867222249507904,0.34549275040626526,0.8166666626930237,0.4960468113422394,0.004999999888241291
0.8611111044883728,0.3367985486984253,0.8233333230018616,0.5345976948738098,0.004999999888241291
0.8736110925674438,0.31629398465156555,0.8299999833106995,0.5219953060150146,0.004999999888241291
0.8924999833106995,0.27459535002708435,0.8133333325386047,0.4946582019329071,0.0024999999441206455
0.9075000286102295,0.25017020106315613,0.8433333039283752,0.5197777152061462,0.0024999999441206455
0.9130555391311646,0.2320854216814041,0.8533333539962769,0.4867572486400604,0.0024999999441206455
0.9152777791023254,0.21947921812534332,0.8266666531562805,0.5192052721977234,0.0024999999441206455
0.9197221994400024,0.21568192541599274,0.8133333325386047,0.5236442685127258,0.0024999999441206455
0.9333333373069763,0.18315917253494263,0.8366666436195374,0.49436473846435547,0.0012499999720603228
0.9355555772781372,0.16812779009342194,0.846666693687439,0.48450031876564026,0.0012499999720603228
